HMCD,SEQ,KTSEQ,KTCD,SRCD,SGNCD,DDTIME,SGTIME,LDTIME,SRPRICE,CSBCD,SUPCLSCD,SUPCD,RCVTSTKBN,RCVCHKKBN
00-1153AA,1,10,PL,3861,,0,0,0,300.0,13,5,,1,1
00-1157AA,1,10,MC,1042,,0,0,0,3200.0,13,5,,1,1
00-1160AA,1,10,MC,,,0,0,15,0.0,13,5,,1,1
00-1160AA,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
00-717U,1,10,PL,3297,,0,0,5,379.0,13,5,,1,1
00-757B,1,10,PA,1515,,0,0,14,315.0,13,5,,1,1
00-757C,1,10,PA,1515,,0,0,14,300.0,13,5,,1,1
00-757E,1,10,PA,1515,,0,0,14,800.0,13,5,,1,1
00-757FA,1,10,PA,1515,,0,0,14,300.0,13,5,,1,1
01-702AA,1,10,PL,1973,,0,0,20,457.0,13,5,,1,1
01-702AB,1,10,PL,1973,,0,0,0,801.0,13,5,,1,1
01-707AA,1,10,PL,3861,,0,0,0,200.0,13,5,,1,1
0105-12A01AA48,1,10,PA,3406,,0,0,0,25360.0,13,5,,1,1
0105-12A01AA56,1,10,PA,9999,,0,0,0,35000.0,13,5,,1,1
0105-12A01AB48,1,10,PA,3406,,0,0,0,25360.0,13,5,,1,1
0105-12A01AB56,1,10,PA,9999,,0,0,0,36750.0,13,5,,1,1
0105-12A01AC48,1,10,PA,3406,,0,0,0,25400.0,13,5,,1,1
0105-12A01BA48,1,10,PA,1515,,0,0,0,18000.0,13,5,,1,1
0105-12A01CC48,1,10,PA,3406,,0,0,0,25360.0,13,5,,1,1
0105-12A01DA56,1,10,PA,1515,,0,0,0,18000.0,13,5,,1,1
0105-12A01DB48,1,10,PA,1515,,0,0,0,18000.0,13,5,,1,1
0105-12A01DC48,1,10,PA,3406,,0,0,0,18000.0,13,5,,1,1
0105-12A03GA56,1,10,PA,,,0,0,0,0.0,13,5,,1,1
0106-12A01CA20,1,10,PA,3406,,0,0,20,14100.0,13,5,,1,1
100-105-4ASB,1,10,PA,3406,,0,0,0,75.0,13,5,,1,1
100-105-4DC,1,10,WE,,,0,0,0,0.0,13,5,,1,1
100-105-4EBS,1,10,WE,,,0,0,0,0.0,13,5,,1,1
100-105BA26,1,10,PA,1515,,0,0,30,2000.0,13,5,,1,1
100-105BA30,1,10,PA,1515,,0,0,40,2000.0,13,5,,1,1
100-105BA38,1,10,PA,1515,,0,0,40,2000.0,13,5,,1,1
100-105BB26,1,10,PA,1515,,0,0,30,2000.0,13,5,,1,1
100-105BB30,1,10,PA,1515,,0,0,40,2000.0,13,5,,1,1
100-105BB38,1,10,PA,1515,,0,0,40,2000.0,13,5,,1,1
100-110C,1,10,PA,,,0,0,0,0.0,13,5,,1,1
100-12A01DA30,1,10,PA,3406,,0,0,0,9500.0,13,5,,1,1
100-201B0800,1,10,L,3254,,0,0,75,2950.0,13,5,,1,1
100-201B0800,2,20,AO,3070,,0,0,75,11400.0,13,6,,1,1
100-201B0930,1,10,L,3254,,0,0,75,2995.0,13,5,,1,1
100-201B0930,2,20,AO,3070,,0,0,75,10000.0,13,6,,1,1
100-201B1150,1,10,L,3254,,0,0,75,2693.0,13,5,,1,1
100-201B1150,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-201B1333,1,10,L,3254,,0,0,75,2837.0,13,5,,1,1
100-201B1333,2,20,AO,3070,,0,0,75,15000.0,13,6,,1,1
100-201C1081,1,10,L,3254,,0,0,75,2503.0,13,5,,1,1
100-201C1081,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
100-201C1150,1,10,L,3254,,0,0,75,2782.0,13,5,,1,1
100-201C1150,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-201C1240,1,10,L,3254,,0,0,75,3476.0,13,5,,1,1
100-201C1240,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-201C1333,1,10,L,3254,,0,0,0,2618.0,13,5,,1,1
100-201C1333,2,20,AO,3070,,0,0,0,15000.0,13,6,,1,1
100-201E1150,1,10,L,3254,,0,0,75,6735.0,13,5,,1,1
100-201E1150,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-201F1081,1,10,L,3254,,0,0,75,8685.0,13,5,,1,1
100-201F1081,2,20,AO,3070,,0,0,75,12600.0,13,6,,1,1
100-201F1150,1,10,L,3254,,0,0,75,8251.0,13,5,,1,1
100-201F1150,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-201F1240,1,10,L,3254,,0,0,75,4448.0,13,5,,1,1
100-201F1240,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
100-201F1333,1,10,L,3254,,0,0,75,8209.0,13,5,,1,1
100-201F1333,2,20,AO,3070,,0,0,75,21000.0,13,6,,1,1
100-201F1411,1,10,L,3254,,0,0,75,4270.0,13,5,,1,1
100-201F1411,2,20,AO,3070,,0,0,75,21500.0,13,6,,1,1
100-201JA1333T,1,10,L,3254,,0,0,75,18000.0,13,5,,1,1
100-201JA1333T,2,20,AO,3070,,0,0,75,13750.0,13,6,,1,1
100-202A0800,1,10,L,3254,,0,0,75,6000.0,13,5,,1,1
100-202A0800,2,20,AO,3070,,0,0,75,9500.0,13,6,,1,1
100-202A0930,1,10,L,3254,,0,0,75,6200.0,13,5,,1,1
100-202A0930,2,20,AO,3070,,0,0,75,10000.0,13,6,,1,1
100-202A1081,1,10,L,3254,,0,0,75,4281.0,13,5,,1,1
100-202A1081,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-202A1150,1,10,L,3254,,0,0,75,6228.0,13,5,,1,1
100-202A1150,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-202A1150S,1,10,L,3254,,0,0,75,6750.0,13,5,,1,1
100-202A1150S,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
100-202A1240,1,10,L,3254,,0,0,75,4038.0,13,5,,1,1
100-202A1240,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-202A1240S,1,10,L,,,0,0,75,0.0,13,5,,1,1
100-202A1240S,2,20,AO,,,0,0,75,0.0,13,6,,1,1
100-202A1333,1,10,L,3254,,0,0,75,6019.0,13,5,,1,1
100-202A1333,2,20,AO,3070,,0,0,75,15000.0,13,6,,1,1
100-202AB1240S,1,10,L,3254,,0,0,0,9000.0,13,5,,1,1
100-202AB1240S,2,20,AO,3070,,0,0,0,15000.0,13,6,,1,1
100-202B0800,1,10,L,3254,,0,0,75,2357.0,13,5,,1,1
100-202B0800,2,20,AO,3070,,0,0,75,11400.0,13,6,,1,1
100-202B0930,1,10,L,3254,,0,0,75,2622.0,13,5,,1,1
100-202B0930,2,20,AO,3070,,0,0,75,10000.0,13,6,,1,1
100-202B1081,1,10,L,3254,,0,0,75,1268.0,13,5,,1,1
100-202B1081,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
100-202B1150,1,10,L,3254,,0,0,75,2750.0,13,5,,1,1
100-202B1150,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-202B1240,1,10,L,3254,,0,0,75,2310.0,13,5,,1,1
100-202B1240,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-202B1333,1,10,L,3254,,0,0,75,2805.0,13,5,,1,1
100-202B1333,2,20,AO,3070,,0,0,75,15000.0,13,6,,1,1
100-202E1150,1,10,L,3254,,0,0,75,6548.0,13,5,,1,1
100-202E1150,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-202EB1081,1,10,L,3254,,0,0,75,7253.0,13,5,,1,1
100-202EB1081,2,20,AO,3070,,0,0,75,12500.0,13,6,,1,1
100-202EB1150,1,10,L,3254,,0,0,75,6085.0,13,5,,1,1
100-202EB1150,2,20,AO,3070,,0,0,75,12500.0,13,6,,1,1
100-202EB1240,1,10,L,3254,,0,0,75,6327.0,13,5,,1,1
100-202EB1240,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
100-202EB1240S,1,10,L,3254,,0,0,75,6976.0,13,5,,1,1
100-202EB1240S,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
100-202EB1333,1,10,L,3254,,0,0,75,6669.0,13,5,,1,1
100-202EB1333,2,20,AO,3070,,0,0,75,15500.0,13,6,,1,1
100-202EB1333T,1,10,L,3254,,0,0,75,12000.0,13,5,,1,1
100-202EB1333T,2,20,AO,3070,,0,0,75,13750.0,13,6,,1,1
100-202EB1411,1,10,L,3254,,0,0,75,8820.0,13,5,,1,1
100-202EB1411,2,20,AO,3070,,0,0,75,21500.0,13,6,,1,1
100-202F1081,1,10,L,3254,,0,0,75,6350.0,13,5,,1,1
100-202F1081,2,20,AO,3070,,0,0,75,12600.0,13,6,,1,1
100-202F1150,1,10,L,3254,,0,0,75,3395.0,13,5,,1,1
100-202F1150,2,20,AO,3070,,0,0,75,12000.0,13,6,,1,1
100-202F1240,1,10,L,3254,,0,0,75,3895.0,13,5,,1,1
100-202F1240,2,20,AO,3070,,0,0,75,0.0,13,6,,1,1
100-202F1333,1,10,L,3254,,0,0,75,3457.0,13,5,,1,1
100-202F1333,2,20,AO,3070,,0,0,75,21000.0,13,6,,1,1
100-202F1411,1,10,L,3254,,0,0,75,6400.0,13,5,,1,1
100-202F1411,2,20,AO,3070,,0,0,75,21500.0,13,6,,1,1
100-204AA,1,10,MC,3399,,0,0,0,20000.0,13,5,,1,1
100-204BA,1,10,MC,3399,,0,0,0,34000.0,13,5,,1,1
100-204BA,2,20,PA,3399,,0,0,0,714.0,13,5,,1,1
100-205AA,1,10,MC,3399,,0,0,0,20000.0,13,5,,1,1
100-205BA,1,10,MC,3399,,0,0,0,70000.0,13,5,,1,1
100-205BA,2,20,PA,3399,,0,0,0,714.0,13,5,,1,1
100-205FA,1,10,MC,3399,,0,0,0,16500.0,13,5,,1,1
100-205FA,2,20,PA,3399,,0,0,0,858.0,13,5,,1,1
100-206C1333,1,10,L,,,0,0,20,0.0,13,5,,1,1
100-206D1150,1,10,L,3254,,0,0,75,8382.0,13,5,,1,1
100-206D1411,1,10,L,3254,,0,0,75,12500.0,13,5,,1,1
100-208-AA0490,1,10,PL,3861,,0,0,50,700.0,13,5,,1,1
100-208-AA0700,1,10,PL,3861,,0,0,50,700.0,13,5,,1,1
100-208-AA0800,1,10,PL,3158,,0,0,50,880.0,13,5,,1,1
100-208-AA0930,1,10,PL,3158,,0,0,50,880.0,13,5,,1,1
100-208-AA1081,1,10,PL,3158,,0,0,50,880.0,13,5,,1,1
100-208-AA1150,1,10,PL,3861,,0,0,50,700.0,13,5,,1,1
100-208-AA1240,1,10,PL,3861,,0,0,50,700.0,13,5,,1,1
100-208-AA1333,1,10,PL,3861,,0,0,50,700.0,13,5,,1,1
100-208-AA1531,1,10,PL,3861,,0,0,50,700.0,13,5,,1,1
100-208-AA1680,1,10,PL,3861,,0,0,50,700.0,13,5,,1,1
100-208-AA2200,1,10,PL,3861,,0,0,50,1200.0,13,5,,1,1
100-208-AA2300,1,10,PL,3861,,0,0,50,1500.0,13,5,,1,1
100-208-AA2350,1,10,PL,3861,,0,0,50,2000.0,13,5,,1,1
100-208-AA2500,1,10,PL,3861,,0,0,50,2000.0,13,5,,1,1
100-208-AA2650,1,10,PL,,,0,0,50,0.0,13,5,,1,1
100-213,1,10,PEFIN,,,0,0,0,0.0,10,5,,2,2
100-213CA,1,10,PEFIN,,,0,0,0,0.0,10,5,,2,2
100-220QA1150,1,10,AO,3994,,0,0,75,1832.0,13,6,,1,1
100-220QA1240,1,10,AO,3994,,0,0,75,1832.0,13,6,,1,1
100-220QB1150,1,10,AO,3994,,0,0,75,1832.0,13,6,,1,1
100-220QB1240,1,10,AO,3994,,0,0,75,1661.0,13,6,,1,1
100-220TA0700,1,10,AO,3994,,0,0,75,5299.0,13,6,,1,1
100-220TB0700,1,10,AO,3994,,0,0,75,4199.0,13,6,,1,1
100-226,1,10,L2,3994,,0,0,0,539.0,13,5,,1,1
100-226,2,20,PA,3994,,0,0,0,189.0,13,5,,1,1
100-226BA,1,10,L2,3994,,0,0,0,539.0,13,5,,1,1
100-226BA,2,20,PA,,,0,0,0,0.0,13,5,,1,1
100-226BB,1,10,L2,3994,,0,0,20,6500.0,13,5,,1,1
100-226BB,2,20,PA,3994,,0,0,20,189.0,13,5,,1,1
100-226CA,1,10,PEFIN,,,0,0,0,0.0,10,5,,2,2
100-226DA,1,10,L,3994,,0,0,35,8110.0,13,5,,1,1
100-228CA1333,1,10,PA,,,0,0,75,0.0,13,5,,1,1
100-229,1,10,PA,,,0,0,75,0.0,13,5,,1,1
100-229CA,1,10,PA,,,0,0,75,0.0,13,5,,1,1
100-236AB,1,10,TH,3052,,0,0,0,5995.0,13,5,,1,1
100-237,1,10,PA,1515,,0,0,75,149.0,13,5,,1,1
100-241EA,1,10,PA,,,0,0,75,0.0,13,5,,1,1
100-241JA,1,10,PA,,,0,0,27,0.0,13,5,,1,1
100-271LA,1,10,PA,1515,,0,0,70,15.0,13,5,,1,1
100-273,1,10,PA,,,0,0,75,0.0,13,5,,1,1
100-276B,1,10,L,3990,,0,0,30,6500.0,13,5,,1,1
100-276B,2,20,PEFIN,,,0,0,0,0.0,10,5,,2,2
100-303AA071288N,1,10,PA,1515,,0,0,35,2657.0,13,5,,1,1
100-303AA080288N,1,10,PA,1515,,0,0,0,215.0,13,5,,1,1
100-303AA0803810N,1,10,PA,1515,,0,0,30,215.0,13,5,,1,1
100-303AA090288N,1,10,PA,1515,,0,0,0,315.0,13,5,,1,1
100-303AA0903810N,1,10,PA,1515,,0,0,15,315.0,13,5,,1,1
100-303AA100288N,1,10,PA,1515,,0,0,45,215.0,13,5,,1,1
100-303AA1003810N,1,10,PA,1515,,0,0,15,315.0,13,5,,1,1
100-303AA112288N,1,10,PA,1515,,0,0,0,315.0,13,5,,1,1
100-303AA1253810N,1,10,PA,1515,,0,0,0,200.0,13,5,,1,1
100-303AA1403810N,1,10,PA,1515,,0,0,30,200.0,13,5,,1,1
100-304-200,1,10,PA,1515,,0,0,0,315.0,13,5,,1,1
100-304-230,1,10,PA,1515,,0,0,45,315.0,13,5,,1,1
100-444JB,1,10,MC,3523,,0,0,40,28000.0,13,5,,1,1
100-444JB,2,20,PA,CA,,0,0,40,500.0,13,5,,1,1
100-444LA,1,10,MC,3399,,0,0,23,2500.0,13,5,,1,1
100-444LA,2,20,PA,3399,,0,0,23,500.0,13,5,,1,1
100-444SA,1,10,PA,,,0,0,20,0.0,13,5,,1,1
100-444TA,1,10,PA,,,0,0,23,0.0,13,5,,1,1
100-454AC,1,10,PL,1973,,0,0,20,1490.0,13,5,,1,1
100-454AF,1,10,PL,1973,,0,0,0,1405.0,13,5,,1,1
100-609AB1,1,10,PA,1515,,0,0,0,315.0,13,5,,1,1
100-609AB2,1,10,PA,1515,,0,0,0,315.0,13,5,,1,1
100-609AB4,1,10,PA,1515,,0,0,0,315.0,13,5,,1,1
100-609AB5,1,10,PA,1515,,0,0,0,315.0,13,5,,1,1
100-609AB6,1,10,PA,1515,,0,0,0,300.0,13,5,,1,1
100-609AB7,1,10,PA,1515,,0,0,0,300.0,13,5,,1,1
100-609AB8,1,10,PA,1515,,0,0,0,315.0,13,5,,1,1
100-609AC,1,10,PA,1515,,0,0,0,315.0,13,5,,1,1
100-609FA,1,10,PA,1515,,0,0,0,315.0,13,5,,1,1
100-609FE,1,10,PA,1515,,0,0,0,300.0,13,5,,1,1
100-609JB1,1,10,PA,1515,,0,0,0,315.0,13,5,,1,1
100-609JB2,1,10,PA,1515,,0,0,0,300.0,13,5,,1,1
100-609JB3,1,10,PA,1515,,0,0,0,315.0,13,5,,1,1
100-609JB4,2,20,PA,1515,,0,0,0,315.0,13,5,,1,1
